[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_goal_image -> act_results/Goal/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 82.0 GB for 52042 items (avail 254 GB)
[ramcache] 10000/52042  (171s)
[ramcache] 20000/52042  (318s)
[ramcache] 30000/52042  (465s)
[ramcache] 40000/52042  (612s)
[ramcache] 50000/52042  (747s)
[ramcache] cached 52042 items in 12.5 min
[train] params=60.71M frames=52042 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet] step  24200 | l1=0.0820 total=0.149 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  24400 | l1=0.0821 total=0.202 phgate=- act=0 | VRAM=6.41GB | 0.090s/it
[act_deeponet] step  24600 | l1=0.0817 total=0.151 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  24800 | l1=0.0810 total=0.193 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  25000 | l1=0.0812 total=0.126 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[ckpt] saved -> act_results/Goal/runs/act_deeponet/checkpoints/25000 (EMA weights)
[act_deeponet] step  25200 | l1=0.0809 total=0.150 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step  25400 | l1=0.0813 total=0.115 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  25600 | l1=0.0799 total=0.130 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  25800 | l1=0.0803 total=0.151 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  26000 | l1=0.0798 total=0.167 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step  26200 | l1=0.0797 total=0.130 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  26400 | l1=0.0794 total=0.115 phgate=- act=0 | VRAM=6.41GB | 0.087s/it
[act_deeponet] step  26600 | l1=0.0795 total=0.137 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  26800 | l1=0.0792 total=0.153 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step  27000 | l1=0.0795 total=0.148 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  27200 | l1=0.0788 total=0.124 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  27400 | l1=0.0779 total=0.154 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  27600 | l1=0.0783 total=0.165 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step  27800 | l1=0.0779 total=0.142 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  28000 | l1=0.0776 total=0.170 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  28200 | l1=0.0774 total=0.094 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  28400 | l1=0.0775 total=0.113 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step  28600 | l1=0.0769 total=0.122 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  28800 | l1=0.0774 total=0.116 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  29000 | l1=0.0760 total=0.122 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  29200 | l1=0.0764 total=0.159 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  29400 | l1=0.0761 total=0.125 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  29600 | l1=0.0761 total=0.140 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  29800 | l1=0.0765 total=0.180 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  30000 | l1=0.0761 total=0.096 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[ckpt] saved -> act_results/Goal/runs/act_deeponet/checkpoints/30000 (EMA weights)
[train] DONE act_deeponet steps=30000 wall=40.5min -> act_results/Goal/runs/act_deeponet
