[train] num_workers -> 48 (cores=56)
[train] variant=act dataset=lerobot/libero_object_image -> act_results/Object/runs/act
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 105.6 GB for 66984 items (avail 256 GB)
[ramcache] 10000/66984  (173s)
[ramcache] 20000/66984  (322s)
[ramcache] 30000/66984  (471s)
[ramcache] 40000/66984  (619s)
[ramcache] 50000/66984  (766s)
[ramcache] 60000/66984  (916s)
[ramcache] cached 66984 items in 16.3 min
[train] params=88.28M frames=66984 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act] step  26000 | l1=0.0525 total=0.085 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  26200 | l1=0.0520 total=0.077 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  26400 | l1=0.0513 total=0.109 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step  26600 | l1=0.0517 total=0.137 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  26800 | l1=0.0521 total=0.093 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  27000 | l1=0.0517 total=0.131 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  27200 | l1=0.0514 total=0.096 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  27400 | l1=0.0508 total=0.121 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  27600 | l1=0.0504 total=0.105 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  27800 | l1=0.0507 total=0.119 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  28000 | l1=0.0507 total=0.111 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  28200 | l1=0.0508 total=0.100 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  28400 | l1=0.0496 total=0.123 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  28600 | l1=0.0501 total=0.100 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  28800 | l1=0.0493 total=0.160 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  29000 | l1=0.0495 total=0.120 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  29200 | l1=0.0496 total=0.110 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  29400 | l1=0.0491 total=0.077 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  29600 | l1=0.0489 total=0.125 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  29800 | l1=0.0495 total=0.123 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  30000 | l1=0.0490 total=0.098 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[ckpt] saved -> act_results/Object/runs/act/checkpoints/30000 (EMA weights)
[train] DONE act steps=30000 wall=51.2min -> act_results/Object/runs/act
