[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet_ph dataset=lerobot/libero_10_image -> act_results/Long/runs/act_deeponet_ph
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 159.9 GB for 101469 items (avail 254 GB)
[ramcache] 10000/101469  (177s)
[ramcache] 20000/101469  (327s)
[ramcache] 30000/101469  (478s)
[ramcache] 40000/101469  (628s)
[ramcache] 50000/101469  (778s)
[ramcache] 60000/101469  (929s)
[ramcache] 70000/101469  (1080s)
[ramcache] 80000/101469  (1230s)
[ramcache] 90000/101469  (1381s)
[ramcache] 100000/101469  (1513s)
[ramcache] cached 101469 items in 25.3 min
[train] params=60.71M frames=101469 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet_ph] step  22400 | l1=0.2112 total=0.271 phgate=active act=0.062 | VRAM=6.41GB | 0.087s/it
[act_deeponet_ph] step  22600 | l1=0.2120 total=0.290 phgate=active act=0.078 | VRAM=6.41GB | 0.087s/it
[act_deeponet_ph] step  22800 | l1=0.2098 total=0.235 phgate=active act=0.094 | VRAM=6.41GB | 0.086s/it
[act_deeponet_ph] step  23000 | l1=0.2105 total=0.334 phgate=active act=0.062 | VRAM=6.41GB | 0.077s/it
[act_deeponet_ph] step  23200 | l1=0.2091 total=0.322 phgate=active act=0.031 | VRAM=6.41GB | 0.086s/it
[act_deeponet_ph] step  23400 | l1=0.2086 total=0.285 phgate=active act=0.125 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step  23600 | l1=0.2076 total=0.296 phgate=active act=0.078 | VRAM=6.41GB | 0.082s/it
[act_deeponet_ph] step  23800 | l1=0.2104 total=0.304 phgate=active act=0.078 | VRAM=6.41GB | 0.094s/it
[act_deeponet_ph] step  24000 | l1=0.2071 total=0.263 phgate=active act=0.062 | VRAM=6.41GB | 0.087s/it
[act_deeponet_ph] step  24200 | l1=0.2073 total=0.285 phgate=active act=0.016 | VRAM=6.41GB | 0.088s/it
[act_deeponet_ph] step  24400 | l1=0.2085 total=0.336 phgate=active act=0.016 | VRAM=6.41GB | 0.077s/it
[act_deeponet_ph] step  24600 | l1=0.2067 total=0.304 phgate=active act=0.094 | VRAM=6.41GB | 0.087s/it
[act_deeponet_ph] step  24800 | l1=0.2053 total=0.310 phgate=active act=0.078 | VRAM=6.41GB | 0.083s/it
[act_deeponet_ph] step  25000 | l1=0.2046 total=0.294 phgate=active act=0.094 | VRAM=6.41GB | 0.088s/it
[ckpt] saved -> act_results/Long/runs/act_deeponet_ph/checkpoints/25000 (EMA weights)
[act_deeponet_ph] step  25200 | l1=0.2035 total=0.313 phgate=active act=0.047 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step  25400 | l1=0.2062 total=0.337 phgate=active act=0.031 | VRAM=6.41GB | 0.087s/it
