[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_object_image -> act_results_gripfix/Object/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 105.6 GB for 66984 items (avail 254 GB)
[ramcache] 10000/66984  (178s)
[ramcache] 20000/66984  (331s)
[ramcache] 30000/66984  (483s)
[ramcache] 40000/66984  (636s)
[ramcache] 50000/66984  (789s)
[ramcache] 60000/66984  (941s)
[ramcache] cached 66984 items in 16.8 min
[train] params=61.80M frames=66984 batch=64 steps=30000
[act_deeponet] step  22000 | l1=0.1021 total=0.189 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step  22200 | l1=0.1014 total=0.176 phgate=- act=0 | VRAM=6.44GB | 0.085s/it
[act_deeponet] step  22400 | l1=0.1010 total=0.173 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
[act_deeponet] step  22600 | l1=0.1000 total=0.178 phgate=- act=0 | VRAM=6.44GB | 0.082s/it
[act_deeponet] step  22800 | l1=0.0997 total=0.155 phgate=- act=0 | VRAM=6.44GB | 0.082s/it
[act_deeponet] step  23000 | l1=0.1003 total=0.177 phgate=- act=0 | VRAM=6.44GB | 0.074s/it
[act_deeponet] step  23200 | l1=0.0991 total=0.155 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step  23400 | l1=0.0989 total=0.142 phgate=- act=0 | VRAM=6.44GB | 0.074s/it
[act_deeponet] step  23600 | l1=0.0985 total=0.157 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step  23800 | l1=0.0984 total=0.171 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step  24000 | l1=0.0982 total=0.154 phgate=- act=0 | VRAM=6.44GB | 0.082s/it
[act_deeponet] step  24200 | l1=0.0976 total=0.153 phgate=- act=0 | VRAM=6.44GB | 0.079s/it
[act_deeponet] step  24400 | l1=0.0972 total=0.184 phgate=- act=0 | VRAM=6.44GB | 0.082s/it
[act_deeponet] step  24600 | l1=0.0972 total=0.178 phgate=- act=0 | VRAM=6.44GB | 0.082s/it
[act_deeponet] step  24800 | l1=0.0977 total=0.096 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
[act_deeponet] step  25000 | l1=0.0960 total=0.170 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step  25200 | l1=0.0965 total=0.141 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step  25400 | l1=0.0957 total=0.147 phgate=- act=0 | VRAM=6.44GB | 0.079s/it
[act_deeponet] step  25600 | l1=0.0958 total=0.174 phgate=- act=0 | VRAM=6.44GB | 0.076s/it
[act_deeponet] step  25800 | l1=0.0960 total=0.157 phgate=- act=0 | VRAM=6.44GB | 0.078s/it
[act_deeponet] step  26000 | l1=0.0948 total=0.120 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
[act_deeponet] step  26200 | l1=0.0950 total=0.117 phgate=- act=0 | VRAM=6.44GB | 0.078s/it
[act_deeponet] step  26400 | l1=0.0938 total=0.169 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
[act_deeponet] step  26600 | l1=0.0947 total=0.124 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
[act_deeponet] step  26800 | l1=0.0935 total=0.168 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step  27000 | l1=0.0932 total=0.123 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
[act_deeponet] step  27200 | l1=0.0936 total=0.164 phgate=- act=0 | VRAM=6.44GB | 0.086s/it
[act_deeponet] step  27400 | l1=0.0927 total=0.133 phgate=- act=0 | VRAM=6.44GB | 0.082s/it
[act_deeponet] step  27600 | l1=0.0932 total=0.160 phgate=- act=0 | VRAM=6.44GB | 0.082s/it
[act_deeponet] step  27800 | l1=0.0924 total=0.137 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step  28000 | l1=0.0921 total=0.165 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step  28200 | l1=0.0927 total=0.190 phgate=- act=0 | VRAM=6.44GB | 0.073s/it
[act_deeponet] step  28400 | l1=0.0916 total=0.113 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
